UF;ANO;Mês;1º Decêndio;2º Decêndio;3º Decêndio;Item transferência;Transferência;
SC;2020;02;0;0;0;LC 87;FUNDEB;
SC;2020;02;12477.65;7030.06;6548;ITR;FUNDEB;
SC;2020;02;4290969.87;6144248.03;1978928.32;IPVA;FUNDEB;
SC;2020;02;656760.31;606504.94;407738.56;ITCMD;FUNDEB;
SC;2020;02;11750862.55;100885314.46;52889924.48;ICMS;FUNDEB;
SC;2020;02;8845681.04;968334.19;2776538.94;FPE;FUNDEB;
SC;2020;02;10474.79;537244.38;0;FEP;Royalties;
SC;2020;02;0;315990.27;0;CFM;Royalties;
SC;2020;02;2218591.32;0;0;CFH;Royalties;
SE;2020;02;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
SE;2020;02;0;0;0;IOF Ouro;IOF-Ouro;
SE;2020;02;283382151.75;30430203.47;90805047.44;FPE;FPE;
SE;2020;02;0;0;0;FPE;FUNDEF;
SE;2020;02;0;0;0;ICMS;FUNDEF;
SE;2020;02;0;0;0;FPM;FUNDEF;
SE;2020;02;0;0;0;IPI-EXP;FUNDEF;
SE;2020;02;0;0;0;COUN;FUNDEF;
SE;2020;02;0;0;0;LC 87;FUNDEF;
SE;2020;02;50770.41;18866.51;21184.64;IPI-EXP;IPI-Exp;
SE;2020;02;9795237.03;1063485.42;3102177.96;FPM;FUNDEB;
SE;2020;02;4593.32;1706.9;1916.61;IPI-EXP;FUNDEB;
SE;2020;02;0;0;0;COUN;FUNDEB;
SE;2020;02;0;0;0;LC 87;FUNDEB;
SE;2020;02;2617.27;203.56;527.44;ITR;FUNDEB;
SE;2020;02;255104.34;699030.12;483264.21;IPVA;FUNDEB;
SE;2020;02;24394.85;37792;47591.33;ITCMD;FUNDEB;
SE;2020;02;2166878.79;13613796.47;4455601.64;ICMS;FUNDEB;
SE;2020;02;25638211.31;2753087.98;8215333.9;FPE;FUNDEB;
SE;2020;02;0;5392572.61;0;ANP;Royalties;
SE;2020;02;29399.99;1507903.93;0;FEP;Royalties;
SE;2020;02;0;187940.16;0;CFM;Royalties;
SE;2020;02;294406.21;0;0;CFH;Royalties;
SP;2020;02;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
SP;2020;02;8260.13;21531.05;7092.8;IOF Ouro;IOF-Ouro;
SP;2020;02;65140297.15;6735478.09;21686738.67;FPE;FPE;
SP;2020;02;0;0;0;FPE;FUNDEF;
SP;2020;02;0;0;0;ICMS;FUNDEF;
SP;2020;02;0;0;0;FPM;FUNDEF;
SP;2020;02;0;0;0;IPI-EXP;FUNDEF;
SP;2020;02;0;0;0;COUN;FUNDEF;
SP;2020;02;0;0;0;LC 87;FUNDEF;
SP;2020;02;37986167.08;14115827.37;15850236.98;IPI-EXP;IPI-Exp;
SP;2020;02;109091026.16;11844196.69;34549420.56;FPM;FUNDEB;
SP;2020;02;4290790.69;1594476.8;1790389.79;IPI-EXP;FUNDEB;
SP;2020;02;0;0;0;COUN;FUNDEB;
SP;2020;02;0;0;0;LC 87;FUNDEB;
SP;2020;02;101832.58;35255.94;37430.21;ITR;FUNDEB;
SP;2020;02;21476932.52;133521534.95;104298264.63;IPVA;FUNDEB;
SP;2020;02;5048717.1;9235020.57;4334004.24;ITCMD;FUNDEB;
SP;2020;02;172922137.18;380161347.97;538497581.3;ICMS;FUNDEB;
SP;2020;02;7358030.43;760817.02;2449661.53;FPE;FUNDEB;
SP;2020;02;0;54561382.16;0;ANP;Royalties;
SP;2020;02;0;303436653.68;0;PEA;Royalties;
SP;2020;02;5103.33;261746.1;0;FEP;Royalties;
SP;2020;02;0;911833.88;0;CFM;Royalties;
SP;2020;02;2717075.89;0;0;CFH;Royalties;
SP;2020;02;0;752650.6;0;ITA;Royalties;
TO;2020;02;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
TO;2020;02;0;0;0;IOF Ouro;IOF-Ouro;
TO;2020;02;287047540.21;30066011.38;94356129.58;FPE;FPE;
TO;2020;02;0;0;0;FPE;FUNDEF;
TO;2020;02;0;0;0;ICMS;FUNDEF;
TO;2020;02;0;0;0;FPM;FUNDEF;
TO;2020;02;0;0;0;IPI-EXP;FUNDEF;
TO;2020;02;0;0;0;COUN;FUNDEF;
TO;2020;02;0;0;0;LC 87;FUNDEF;
TO;2020;02;171741.17;63819.79;71661.31;IPI-EXP;IPI-Exp;
TO;2020;02;11118028.37;1207103.14;3521108.89;FPM;FUNDEB;
TO;2020;02;19031.25;7072.18;7941.04;IPI-EXP;FUNDEB;
TO;2020;02;0;0;0;COUN;FUNDEB;
TO;2020;02;0;0;0;LC 87;FUNDEB;
TO;2020;02;26694.6;10573.67;11562.27;ITR;FUNDEB;
TO;2020;02;1769000.55;272877.53;159209.04;IPVA;FUNDEB;
TO;2020;02;136642.61;0;0;ITCMD;FUNDEB;
TO;2020;02;18528196.98;3257582.31;1454436.58;ICMS;FUNDEB;
TO;2020;02;31808888.06;3331735.2;10455980.77;FPE;FUNDEB;
TO;2020;02;24946.75;1279500.53;0;FEP;Royalties;
TO;2020;02;0;56717.17;0;CFM;Royalties;
TO;2020;02;651078.71;0;0;CFH;Royalties;
