date,Tipologia de Myers-Briggs: (Brasil),Jogos Digitais: (Brasil),Classificação de jogadores: (Brasil)
2019-12-15,54,26,4
2019-12-22,57,11,6
2019-12-29,63,20,3
2020-01-05,53,30,3
2020-01-12,62,25,5
2020-01-19,64,29,0
2020-01-26,47,30,5
2020-02-02,41,31,2
2020-02-09,47,35,2
2020-02-16,44,36,2
2020-02-23,55,22,0
2020-03-01,48,43,7
2020-03-08,61,32,2
2020-03-15,55,32,4
2020-03-22,61,26,2
2020-03-29,62,30,2
2020-04-05,70,23,2
2020-04-12,89,19,2
2020-04-19,100,21,2
2020-04-26,63,41,7
